"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
8.275625063E-3,-3.794799805E0,-2.709511566E1,-4.001095581E1,4.847084055E1
1.833862497E-2,-3.907341003E0,-2.694004059E1,-3.990289307E1,4.830397474E1
2.840162499E-2,-3.983024597E0,-2.681913757E1,-3.977688599E1,4.813866724E1
3.846462502E-2,-4.266822815E0,-2.670847702E1,-3.962765503E1,4.797811548E1
4.852495831E-2,-4.200698853E0,-2.667165375E1,-3.970571899E1,4.801632124E1
5.858795834E-2,-4.640701294E0,-2.679963303E1,-3.977569580E1,4.818570758E1
6.865095836E-2,-4.794433594E0,-2.697722244E1,-4.030578613E1,4.873718827E1
7.871395838E-2,-4.739852905E0,-2.660393143E1,-4.017187500E1,4.841502777E1
8.877695841E-2,-4.870353699E0,-2.653464127E1,-3.980191040E1,4.808325700E1
9.883995831E-2,-4.889350891E0,-2.663830185E1,-3.976138306E1,4.810896445E1
1.089039583E-1,-4.782562256E0,-2.664439011E1,-3.972598267E1,4.807234262E1
1.189669584E-1,-4.935089111E0,-2.679170990E1,-4.009713745E1,4.847608953E1
1.290299584E-1,-5.314277649E0,-2.670529938E1,-3.994497681E1,4.834269059E1
1.390929583E-1,-5.507431030E0,-2.676378632E1,-3.990832520E1,4.836637752E1
1.491559583E-1,-5.624046326E0,-2.669031143E1,-3.965722656E1,4.813209158E1
1.592199584E-1,-5.603462219E0,-2.674676132E1,-3.979415894E1,4.827383469E1
1.692829584E-1,-5.628707886E0,-2.670635986E1,-4.019442749E1,4.858501838E1
1.793459584E-1,-5.618453979E0,-2.681937790E1,-4.037533569E1,4.879563288E1
1.894089583E-1,-5.697052002E0,-2.654900742E1,-3.963229370E1,4.804190775E1
1.994719583E-1,-5.712715149E0,-2.662909698E1,-3.972479248E1,4.816433388E1
2.095349584E-1,-6.086349487E0,-2.651130295E1,-3.979107666E1,4.819981967E1
2.195989584E-1,-5.849594116E0,-2.649643326E1,-3.955255127E1,4.796543587E1
2.296619584E-1,-5.783096313E0,-2.654278564E1,-3.973461914E1,4.813318638E1
2.397249583E-1,-5.476936340E0,-2.662199783E1,-3.968777466E1,4.810246415E1
2.497879583E-1,-5.768989563E0,-2.682936096E1,-3.949865723E1,4.809615133E1
