Molocule,Wave_Number,Intensity ,A,gamma_air,gamma self,E'',n-air,delta - air,J',"J"""
12CH4,1244.0028,6.42E-27,0.000414,0.056,0.078,1630.6104,0.73,-0.002,7,7
12CH4,1244.00891,3.29E-25,0.01562,0.058,0.078,1462.7076,0.75,-0.002,4,5
12CH4,1244.02869,4.18E-27,0.0001461,0.064,0.077,1558.8097,0.72,-0.002,6,6
12CH4,1244.049,1.57E-23,0.9658,0.058,0.074,1729.8086,0.67,-0.002,8,9
12CH4,1244.07541,3.13E-23,1.155,0.058,0.074,1729.8895,0.67,-0.002,8,9
12CH4,1244.08734,1.18E-23,1.086,0.052,0.074,1729.7614,0.67,-0.002,8,9
12CH4,1244.10866,4.85E-26,0.01726,0.054,0.073,2114.1523,0.67,-0.002,9,10
12CH4,1244.148,3.20E-25,6.119,0.06,0.076,2961.1489,0.7,-0.002,6,7
12CH4,1244.15011,4.08E-25,0.09787,0.058,0.074,2009.9767,0.67,-0.002,8,9
12CH4,1244.15685,1.46E-26,0.004729,0.054,0.073,2115.2581,0.67,-0.002,10,10
12CH4,1244.18809,2.68E-27,0.005412,0.047,0.065,2558.2781,0.65,-0.002,14,15
12CH4,1244.19695,7.33E-27,0.0002139,0.064,0.077,1521.4689,0.72,-0.002,6,6
12CH4,1244.22184,1.27E-26,0.0003985,0.066,0.078,1460.5062,0.75,-0.002,4,5
12CH4,1244.285,8.00E-27,1.616,0.055,0.058,3577.0974,0.63,-0.002,20,20
12CH4,1244.2865,8.02E-27,1.62,0.055,0.058,3577.0974,0.63,-0.002,20,20
12CH4,1244.28727,2.63E-23,1.926,0.058,0.074,1766.0465,0.67,-0.002,8,9
12CH4,1244.296,7.86E-27,1.533,0.041,0.055,3622.5171,0.57,-0.002,26,26
12CH4,1244.296,7.86E-27,1.533,0.041,0.055,3622.5166,0.57,-0.002,26,26
12CH4,1244.30883,1.70E-25,0.02737,0.045,0.073,1867.6289,0.67,-0.002,9,10
12CH4,1244.3164,2.47E-24,0.1518,0.058,0.074,1729.8086,0.67,-0.002,8,9
12CH4,1244.4031,1.13E-25,0.01444,0.054,0.073,1923.4122,0.67,-0.002,10,10
12CH4,1244.41718,7.38E-26,0.01432,0.053,0.073,2115.1497,0.67,-0.002,10,10
12CH4,1244.43503,2.01E-26,0.03362,0.051,0.067,2489.0051,0.65,-0.002,12,13
12CH4,1244.44,1.32E-28,1.462,0.041,0.055,4475.8101,0.57,-0.002,29,29
12CH4,1244.443,1.32E-28,1.461,0.041,0.055,4475.8071,0.57,-0.002,29,29
