Callisto_Wave_Number,Callisto_Spectrum,Callisto_Noise,Titan_Wave_Number,Titan_Spectrum,Titan_Noise
1243.029331,0,0,1243.029087,0,0
1243.033477,0,0,1243.033233,0,0
1243.037623,0,0,1243.037379,0,0
1243.04177,0,0,1243.041526,0,0
1243.045916,0,0,1243.045672,0,0
1243.050062,0,0,1243.049818,0,0
1243.054209,0,0,1243.053965,0,0
1243.058355,0,0,1243.058111,0,0
1243.062501,0,0,1243.062257,0,0
1243.066648,0,0,1243.066404,0,0
1243.070794,0,0,1243.07055,0,0
1243.07494,0,0,1243.074696,0,0
1243.079087,0,0,1243.078843,0,0
1243.083233,0,0,1243.082989,0,0
1243.087379,0,0,1243.087135,0,0
1243.091526,0,0,1243.091282,0,0
1243.095672,0,0,1243.095428,0,0
1243.099818,0,0,1243.099574,0,0
1243.103965,0,0,1243.103721,0,0
1243.108111,0,0,1243.107867,0,0
1243.112257,0,0,1243.112013,0,0
1243.116404,0,0,1243.11616,0,0
1243.12055,0,0,1243.120306,0,0
1243.124696,0,0,1243.124452,0,0
1243.128843,0,0,1243.128599,0,0
1243.132989,0,0,1243.132745,0,0
1243.137135,0,0,1243.136891,0,0
1243.141282,0,0,1243.141038,0,0
1243.145428,0,0,1243.145184,0,0
1243.149574,0,0,1243.14933,0,0
1243.153721,0,0,1243.153477,0,0
1243.157867,0,0,1243.157623,0,0
1243.162013,0,0,1243.161769,0,0
1243.16616,0,0,1243.165916,0,0
1243.170306,0,0,1243.170062,0,0
1243.174452,0,0,1243.174208,0,0
1243.178599,0,0,1243.178355,0,0
1243.182745,0,0,1243.182501,0,0
1243.186891,0,0,1243.186647,0,0
1243.191038,0,0,1243.190794,0,0
1243.195184,0,0,1243.19494,0,0
1243.19933,0,0,1243.199086,0,0
1243.203477,0,0,1243.203233,0,0
1243.207623,0,0,1243.207379,0,0
1243.211769,0,0,1243.211525,0,0
1243.215916,0,0,1243.215672,0,0
1243.220062,0,0,1243.219818,0,0
1243.224208,0,0,1243.223964,0,0
1243.228355,0,0,1243.228111,0,0
1243.232501,0,0,1243.232257,0,0
1243.236647,0,0,1243.236403,0,0
1243.240794,0,0,1243.24055,0,0
1243.24494,0,0,1243.244696,0,0
1243.249086,0,0,1243.248842,0,0
1243.253233,0,0,1243.252989,0,0
1243.257379,0,0,1243.257135,0,0
1243.261525,0,0,1243.261281,0,0
1243.265672,0,0,1243.265428,0,0
1243.269818,0,0,1243.269574,0,0
1243.273964,0,0,1243.27372,0,0
1243.278111,0,0,1243.277867,0,0
1243.282257,0,0,1243.282013,0,0
1243.286403,0,0,1243.286159,0,0
1243.29055,0,0,1243.290306,0,0
1243.294696,0,0,1243.294452,0,0
1243.298842,0,0,1243.298598,0,0
1243.302989,0,0,1243.302745,0,0
1243.307135,0,0,1243.306891,0,0
1243.311281,0,0,1243.311037,0,0
1243.315428,0,0,1243.315184,0,0
1243.319574,0,0,1243.31933,0,0
1243.32372,0,0,1243.323476,0,0
1243.327867,0,0,1243.327623,0,0
1243.332013,0,0,1243.331769,0,0
1243.336159,0,0,1243.335915,0,0
1243.340306,0,0,1243.340062,0,0
1243.344452,0,0,1243.344208,0,0
1243.348598,0,0,1243.348354,0,0
1243.352745,0,0,1243.352501,0,0
1243.356891,0,0,1243.356647,0,0
1243.361037,0,0,1243.360793,0,0
1243.365184,0,0,1243.36494,0,0
1243.36933,0,0,1243.369086,0,0
1243.373476,0,0,1243.373232,0,0
1243.377623,0,0,1243.377379,0,0
1243.381769,0,0,1243.381525,0,0
1243.385915,0,0,1243.385671,0,0
1243.390062,0,0,1243.389817,0,0
1243.394208,0,0,1243.393964,0,0
1243.398354,0,0,1243.39811,0,0
1243.402501,0,0,1243.402256,0,0
1243.406647,0,0,1243.406403,0,0
1243.410793,0,0,1243.410549,0,0
1243.41494,0,0,1243.414695,0,0
1243.419086,0,0,1243.418842,0,0
1243.423232,0,0,1243.422988,0,0
1243.427379,0,0,1243.427134,0,0
1243.431525,0,0,1243.431281,0,0
1243.435671,0,0,1243.435427,0,0
1243.439818,0,0,1243.439573,0,0
1243.443964,0,0,1243.44372,0,0
1243.44811,0,0,1243.447866,0,0
1243.452257,0,0,1243.452012,0,0
1243.456403,0,0,1243.456159,0,0
1243.460549,0,0,1243.460305,0,0
1243.464696,0,0,1243.464451,0,0
1243.468842,0,0,1243.468598,0,0
1243.472988,0,0,1243.472744,0,0
1243.477135,0,0,1243.47689,0,0
1243.481281,0,0,1243.481037,0,0
1243.485427,0,0,1243.485183,0,0
1243.489574,0,0,1243.489329,0,0
1243.49372,0,0,1243.493476,0,0
1243.497866,0,0,1243.497622,0,0
1243.502013,0,0,1243.501768,0,0
1243.506159,0,0,1243.505915,0,0
1243.510305,0,0,1243.510061,0,0
1243.514452,0,0,1243.514207,0,0
1243.518598,0,0,1243.518354,0,0
1243.522744,0,0,1243.5225,0,0
1243.526891,0,0,1243.526646,0,0
1243.531037,0,0,1243.530793,0,0
1243.535183,0,0,1243.534939,0,0
1243.53933,0,0,1243.539085,0,0
1243.543476,0,0,1243.543232,0,0
1243.547622,0,0,1243.547378,0,0
1243.551769,0,0,1243.551524,0,0
1243.555915,0,0,1243.555671,0,0
1243.560061,0,0,1243.559817,0,0
1243.564208,0,0,1243.563963,0,0
1243.568354,0,0,1243.56811,0,0
1243.5725,0,0,1243.572256,0,0
1243.576647,0,0,1243.576402,0,0
1243.580793,0,0,1243.580549,0,0
1243.584939,0,0,1243.584695,0,0
1243.589086,0,0,1243.588841,0,0
1243.593232,0,0,1243.592988,0,0
1243.597378,0,0,1243.597134,0,0
1243.601525,0,0,1243.60128,0,0
1243.605671,0,0,1243.605427,0,0
1243.609817,0,0,1243.609573,0,0
1243.613964,0,0,1243.613719,0,0
1243.61811,0,0,1243.617866,0,0
1243.622256,0,0,1243.622012,0,0
1243.626403,0,0,1243.626158,0,0
1243.630549,0,0,1243.630305,0,0
1243.634695,0,0,1243.634451,0,0
1243.638842,0,0,1243.638597,0,0
1243.642988,0,0,1243.642744,0,0
1243.647134,0,0,1243.64689,0,0
1243.651281,0,0,1243.651036,0,0
1243.655427,0,0,1243.655183,0,0
1243.659573,0,0,1243.659329,0,0
1243.66372,0,0,1243.663475,0,0
1243.667866,0,0,1243.667622,0,0
1243.672012,0,0,1243.671768,0,0
1243.676159,0,0,1243.675914,0,0
1243.680305,0,0,1243.680061,0,0
1243.684451,0,0,1243.684207,0,0
1243.688598,0,0,1243.688353,0,0
1243.692744,0,0,1243.6925,0,0
1243.69689,0,0,1243.696646,0,0
1243.701037,0,0,1243.700792,0,0
1243.705183,0,0,1243.704939,0,0
1243.709329,0,0,1243.709085,0,0
1243.713476,0,0,1243.713231,0,0
1243.717622,0,0,1243.717378,0,0
1243.721768,0,0,1243.721524,0,0
1243.725915,0,0,1243.72567,0,0
1243.730061,0,0,1243.729817,0,0
1243.734207,0,0,1243.733963,0,0
1243.738354,0,0,1243.738109,0,0
1243.7425,0,0,1243.742256,0,0
1243.746646,0,0,1243.746402,0,0
1243.750793,0,0,1243.750548,0,0
1243.754939,0,0,1243.754695,0,0
1243.759085,0,0,1243.758841,0,0
1243.763232,0,0,1243.762987,0,0
1243.767378,0,0,1243.767134,0,0
1243.771524,0,0,1243.77128,0,0
1243.775671,0,0,1243.775426,0,0
1243.779817,0,0,1243.779573,0,0
1243.783963,0,0,1243.783719,0,0
1243.78811,0,0,1243.787865,0,0
1243.792256,0,0,1243.792012,0,0
1243.796402,0,0,1243.796158,0,0
1243.800549,0,0,1243.800304,0,0
1243.804695,0,0,1243.804451,0,0
1243.808841,0,0,1243.808597,0,0
1243.812988,0,0,1243.812743,0,0
1243.817134,0,0,1243.81689,0,0
1243.82128,0,0,1243.821036,0,0
1243.825427,0,0,1243.825182,0,0
1243.829573,0,0,1243.829329,0,0
1243.833719,0,0,1243.833475,0,0
1243.837866,0,0,1243.837621,0,0
1243.842012,0,0,1243.841768,0,0
1243.846158,0,0,1243.845914,0,0
1243.850305,0,0,1243.85006,0,0
1243.854451,0,0,1243.854207,0,0
1243.858597,0,0,1243.858353,0,0
1243.862744,0,0,1243.862499,0,0
1243.86689,0,0,1243.866646,0,0
1243.871036,0,0,1243.870792,0,0
1243.875183,0,0,1243.874938,0,0
1243.879329,0,0,1243.879085,0,0
1243.883475,0,0,1243.883231,0,0
